id,Expected
0,1
1,1
2,0
3,0
4,1
5,0
6,1
7,0
8,1
9,1
10,1
11,1
12,1
13,1
14,1
15,1
16,0
17,0
18,0
19,0
20,0
21,0
22,1
23,0
24,0
25,0
26,0
27,0
28,1
29,1
30,0
31,0
32,0
33,0
34,0
35,1
36,1
37,0
38,0
39,1
40,0
41,0
42,1
43,1
44,0
45,0
46,0
47,0
48,0
49,0
50,1
51,0
52,0
53,0
54,1
55,0
56,0
57,0
58,0
59,1
60,0
61,0
62,0
63,0
64,0
65,1
66,0
67,0
68,0
69,0
70,1
71,0
72,0
73,1
74,1
75,1
76,1
77,0
78,0
79,0
80,1
81,1
82,0
83,1
84,0
85,1
86,0
87,0
88,0
89,1
90,1
91,1
92,0
93,0
94,1
95,1
96,1
97,1
98,1
99,0
100,0
101,1
102,1
103,1
104,1
105,0
106,1
107,1
108,0
109,0
110,1
111,1
112,0
113,0
114,0
115,0
116,1
117,1
118,0
119,0
120,1
121,0
122,1
123,1
124,1
125,0
126,0
127,1
128,0
129,0
130,1
131,1
132,0
133,0
134,1
135,1
136,0
137,1
138,1
139,1
140,0
141,0
142,0
143,0
144,0
145,1
146,0
147,0
148,1
149,1
150,0
151,0
152,0
153,1
154,1
155,0
156,0
157,0
158,0
159,0
160,0
161,0
162,0
163,0
164,0
165,0
166,1
167,1
168,1
169,0
170,1
171,0
172,0
173,0
174,1
175,0
176,0
177,1
178,1
179,0
180,0
181,0
182,1
183,1
184,1
185,0
186,0
187,1
188,0
189,0
190,0
191,1
192,1
193,0
194,0
195,1
196,0
197,0
198,0
199,0
200,1
201,0
202,1
203,1
204,0
205,0
206,0
207,0
208,1
209,0
210,1
211,0
212,0
213,0
214,0
215,1
216,0
217,1
218,1
219,0
220,0
221,0
222,0
223,1
224,0
225,0
226,0
227,0
228,1
229,1
230,0
231,0
232,0
233,0
234,1
235,0
236,1
237,0
238,1
239,0
240,0
241,0
242,0
243,1
244,1
245,0
246,0
247,1
248,1
249,1
250,0
251,1
252,1
253,1
254,0
255,1
256,1
257,0
258,0
259,0
260,1
261,0
262,0
263,1
264,1
265,0
266,0
267,1
268,1
269,0
270,0
271,1
272,0
273,0
274,0
275,0
276,0
277,0
278,0
279,0
280,0
281,0
282,0
283,0
284,1
285,0
286,0
287,0
288,0
289,0
290,0
291,1
292,0
293,0
294,0
295,1
296,0
297,0
298,0
299,0
300,1
301,0
302,1
303,1
304,0
305,0
306,0
307,0
308,0
309,1
310,0
311,1
312,1
313,1
314,0
315,1
316,0
317,1
318,1
319,0
320,1
321,0
322,0
323,1
324,0
325,0
326,1
327,0
328,1
329,0
330,0
331,0
332,1
333,1
334,0
335,0
336,0
337,0
338,1
339,0
340,1
341,0
342,1
343,0
344,1
345,0
346,0
347,0
348,1
349,0
350,0
351,0
352,0
353,1
354,0
355,0
356,0
357,1
358,0
359,0
360,0
361,0
362,0
363,0
364,0
365,1
366,1
367,0
368,0
369,1
370,0
371,1
372,0
373,1
374,1
375,0
376,0
377,0
378,0
379,0
380,0
381,0
382,0
383,0
384,0
385,0
386,0
387,0
388,0
389,0
390,0
391,1
392,0
393,1
394,0
395,0
396,0
397,1
398,0
399,1
400,0
401,0
402,1
403,1
404,0
405,1
406,1
407,0
408,0
409,1
410,0
411,1
412,0
413,0
414,0
415,1
416,1
417,0
418,1
419,1
420,0
421,1
422,1
423,0
424,0
425,0
426,0
427,0
428,0
429,1
430,0
431,1
432,1
433,0
434,0
435,0
436,0
437,0
438,0
439,0
440,0
441,1
442,0
443,0
444,1
445,1
446,0
447,0
448,0
449,0
450,0
451,1
452,0
453,0
454,1
455,0
456,0
457,0
458,1
459,1
460,0
461,1
462,0
463,1
464,0
465,0
466,0
467,1
468,0
469,0
470,0
471,1
472,1
473,1
474,0
475,0
476,0
477,0
478,0
479,0
480,1
481,0
482,1
483,1
484,1
485,1
486,0
487,1
488,0
489,1
490,1
491,1
492,0
493,0
494,0
495,1
496,0
497,0
498,1
499,0
500,0
501,0
502,0
503,0
504,0
505,1
506,0
507,0
508,0
509,1
510,1
511,1
512,0
513,0
514,0
515,0
516,1
517,0
518,0
519,0
520,0
521,0
522,0
523,0
524,1
525,0
526,1
527,0
528,0
529,0
530,0
531,0
532,0
533,1
534,0
535,0
536,0
537,1
538,0
539,1
540,1
541,1
542,1
543,0
544,1
545,0
546,0
547,0
548,0
549,1
550,0
551,0
552,0
553,1
554,0
555,0
556,0
557,0
558,1
559,1
560,1
561,0
562,1
563,0
564,0
565,0
566,0
567,0
568,0
569,0
570,0
571,0
572,1
573,1
574,1
575,0
576,0
577,1
578,0
579,0
580,0
581,0
582,0
583,1
584,0
585,1
586,0
587,0
588,0
589,0
590,0
591,1
592,0
593,1
594,1
595,0
596,0
597,0
598,0
599,1
600,0
601,0
602,0
603,1
604,0
605,1
606,0
607,1
608,0
609,0
610,0
611,0
612,0
613,0
614,0
615,0
616,0
617,0
618,0
619,1
620,0
621,0
622,0
623,0
624,0
625,0
626,1
627,0
628,1
629,0
630,1
631,1
632,0
633,1
634,1
635,0
636,0
637,0
638,0
639,0
640,0
641,0
642,1
643,1
644,0
645,1
646,0
647,0
648,0
649,0
650,1
651,0
652,1
653,0
654,0
655,1
656,1
657,0
658,0
659,1
660,1
661,0
662,1
663,1
664,1
665,1
666,0
667,0
668,1
669,0
670,0
671,0
672,0
673,0
674,0
675,1
676,0
677,1
678,0
679,0
680,1
681,1
682,1
683,1
684,0
685,0
686,1
687,0
688,0
689,1
690,1
691,0
692,0
693,1
694,1
695,1
696,0
697,1
698,0
699,1
700,1
701,0
702,0
703,0
704,0
705,1
706,0
707,0
708,1
709,0
710,0
711,0
712,0
713,1
714,1
715,0
716,1
717,0
718,0
719,1
720,0
721,0
722,0
723,0
724,0
725,1
726,0
727,1
728,0
729,0
730,0
731,1
732,0
733,1
734,1
735,0
736,1
737,0
738,0
739,0
740,0
741,0
742,0
743,0
744,0
745,1
746,0
747,1
748,0
749,0
750,0
751,0
752,0
753,0
754,0
755,1
756,0
757,0
758,1
759,1
760,1
761,0
762,0
763,0
764,1
765,0
766,1
767,0
768,1
769,0
770,1
771,0
772,1
773,1
774,0
775,1
776,0
777,1
778,0
779,0
780,0
781,0
782,1
783,0
784,1
785,1
786,0
787,0
788,1
789,0
790,1
791,1
792,0
793,0
794,1
795,1
796,0
797,0
798,0
799,0
800,0
801,0
802,1
803,0
804,1
805,0
806,0
807,1
808,0
809,0
810,0
811,0
