0,"Soy el Clint Eastwood de los Puentes de Madison en todas las putas historias de amor que me han tocado.
"
0,"Actualmente ya pasó de moda la pucha joto, ahora sólo quedamos los verdaderos seguidores, los que amamos este estilo de vida.
"
0,"¿Es cierto esto? Y no me refiero a lo que dijo, ni al tweet, sino a👉<URL>¿Están tratando de sacarlo del programa?
"
0,"Vuela pega y esquiva... la neta está de la vergaaaa pero es pegajosa!!
"
0,"Mejor puto disfraz de la noche!!!! 👊👊👊Por tercer año consecutivo morros
"
0,"Una verga para dejarte sin aliento, y bien abierto. Te la tragas? 🍆💦
"
1,"La que se veía súper mal era Demi Lovato porque se mamo con el escote y el peinado le quedo feo
"
1,"YA SE CONVIRTIÓ LA K  EN VIRGEN MARIA ,AHORA SI YA ESTA MAS LOCA
"
0,"#280caracteres y yo que creí que tuiter se trataba de ingenio y ahora nos salen con 280 caracateres no mamar
"
0,"Hoy en día ya casi nadie se muere por VIH, se mueren por pendejos, por no hacerme chequeos continuos sabiendo lo putos que son.
"
0,"Me quedé sin novia, sin amante &amp; sin ex ... todo en el mismo puto fin de semana ...
"
0,"Por que critican tanto a las putas, si bien que les gustan.
"
0,"Woou rulo invita..yo tambien quiero mamar esa panocha deliciosa y clavarsela
"
0,"Acosas a una chava en el metro y lloras cuando te ponen en la madre. Marica.
"
1,"Ay joto, tú ahora en lo único que vienes peor que yo es en lo distraído
"
0,"Iba a escribir un tuit disculpándome por todos a los que no les respondí WA en los 3 días que no sirvió mi cel y nadie me putas escribió. ☹️
"
0,"Me acorde de cuando me internaron y que diego le enseño a mi mama todas las fotos feas que le mando 😂😂ya son bien befis ellos
"
0,"Te llevaría conmigo, pero me esta llevando la verga, y no quiero llevarte allá.
"
0,"Esa chica un poco loca, que solía estar cantando por el barrio. Esa chica tan risueña con el pelo alborotado. 🎶 #LOVG
"
0,"Con el “agua loca”, de que nos ganaron… ¡nos ganaron!
"
0,"Si hubiera una materia que se llamara ""Como valer verga en la vida"" ya la hubiera exentado .
"
0,"Hasta que te diste cuenta que no te vez bien con esas cosas feas 😖
"
1,"Sólo los putos le ponen azúcar a su café porque les sabe “amargo”. Pinches maricones.
"
1,"@USUARIO Lo que tu no respetas es al país HDP
"
0,"@USUARIO Pinches greñas feas. Te quiero, amigo. Saludos.
"
0,"De una vez ve poniendo mi foto en tu ofrenda porque ya se te murió tu pendeja.
"
